# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


 Pad	            Istrip	                Rpoly	                Idark	                Cac	                   Cint	    Idiel	                Rint	                Temperature	                    Humidity
 #	Current[A]	Resistance[Ohms]	Current[A]	Capacitance[F]	Capacitance[F]	Current[A]	Resistance[Ohms]	[Degree C]	[RH%]
51	1.10E-10	1682629.63	9.46965E-11	7.05414E-11	3.65457E-12	9.46965E-11	88549100000	20	20
52	1.10E-10	1686051.54	9.58828E-11	7.01485E-11	3.27426E-12	9.58828E-11	88650600000	20	20
53	1.12E-10	1698355.51	9.49568E-11	7.01999E-11	3.65284E-12	9.49568E-11	74195100000	20	20
54	1.07E-10	1688354.65	9.79043E-11	7.07092E-11	3.6585E-12	9.79043E-11	1.78157E+11	20	20
55	1.13E-10	1682796.83	8.81741E-11	7.02254E-11	3.6558E-12	8.81741E-11	1.33895E+11	20	20
56	1.17E-10	1704941.72	9.26855E-11	6.99669E-11	3.65486E-12	9.26855E-11	60244200000	20	20
57	1.15E-10	1684874.44	9.048E-11	7.07347E-11	3.65809E-12	9.048E-11	1.41612E+11	20	20
58	1.09E-10	1696582.5	9.45589E-11	3.54147E-12	3.25502E-12	9.45589E-11	1.41563E+11	20	20
59	1.09E-10	1689861.11	9.84194E-11	7.04503E-11	3.6537E-12	9.84194E-11	71386600000	20	20
60	1.10E-10	1674730.26	9.36847E-11	7.06434E-11	3.6536E-12	9.36847E-11	81870900000	20	20
61	1.08E-10	1687997.65	9.10663E-11	7.0819E-11	3.65694E-12	9.10663E-11	88684300000	20	20
62	1.08E-10	1692588.46	9.78007E-11	7.03948E-11	3.65359E-12	9.78007E-11	1.10987E+11	20	20
63	1.10E-10	1681104.13	9.12114E-11	7.07221E-11	3.65449E-12	9.12114E-11	85884200000	20	20
64	1.13E-10	1702295.73	9.55857E-11	3.41114E-12	3.25343E-12	9.55857E-11	1.18123E+11	20	20
65	1.07E-10	1688114.05	9.84956E-11	7.00829E-11	3.65309E-12	9.84956E-11	2.75045E+11	20	20
66	1.06E-10	1684518.97	9.60937E-11	7.02332E-11	3.65306E-12	9.60937E-11	84263200000	20	20
67	1.13E-10	1694051.74	9.16297E-11	7.07296E-11	3.65451E-12	9.16297E-11	66241900000	20	20
68	1.09E-10	1683931.75	9.5828E-11	7.03241E-11	3.65106E-12	9.5828E-11	1.21304E+11	20	20
69	1.06E-10	1687258.07	9.5672E-11	7.00249E-11	3.65802E-12	9.5672E-11	1.02768E+11	20	20
70	1.10E-10	1688154.7	9.10698E-11	6.18609E-11	3.25488E-12	9.10698E-11	2.32668E+11	20	20
71	1.08E-10	1686445.65	9.47085E-11	6.99939E-11	3.65461E-12	9.47085E-11	88959900000	20	20
72	1.13E-10	1692987.65	9.21018E-11	7.04068E-11	3.65102E-12	9.21018E-11	66216800000	20	20
73	1.04E-10	1694787.88	9.40048E-11	7.03956E-11	3.65345E-12	9.40048E-11	1.15854E+11	20	20
74	1.04E-10	1682904.04	9.29367E-11	7.09288E-11	3.65581E-12	9.29367E-11	63502200000	20	20
75	1.06E-10	1693707.35	8.99075E-11	7.05908E-11	3.65622E-12	8.99075E-11	1.04104E+11	20	20
76	1.06E-10	1684286.44	9.68383E-11	3.39462E-12	3.25568E-12	9.68383E-11	77880700000	20	20
77	1.11E-10	1695033.55	9.13058E-11	7.06705E-11	3.65061E-12	9.13058E-11	1.0988E+11	20	20
78	1.10E-10	1694501.62	9.47063E-11	7.02841E-11	3.65645E-12	9.47063E-11	1.01449E+11	20	20
79	1.09E-10	1687110.33	9.33366E-11	7.08203E-11	3.65857E-12	9.33366E-11	1.20005E+11	20	20
80	1.05E-10	1695589.34	8.85249E-11	7.04696E-11	3.65559E-12	8.85249E-11	1.70291E+11	20	20
81	1.02E-10	1684177.19	9.45208E-11	7.08518E-11	3.65763E-12	9.45208E-11	76024400000	20	20
82	1.06E-10	1703676.95	9.17852E-11	6.5429E-12	3.25204E-12	9.17852E-11	79938400000	20	20
83	1.06E-10	1678678.75	9.56183E-11	7.0474E-11	3.65503E-12	9.56183E-11	83894900000	20	20
84	1.06E-10	1683663.66	9.42524E-11	7.08412E-11	3.65483E-12	9.42524E-11	1.16289E+11	20	20
85	1.04E-10	1689106.39	9.26648E-11	7.05345E-11	3.65518E-12	9.26648E-11	1.14997E+11	20	20
86	1.03E-10	1684329.39	9.23502E-11	7.06115E-11	3.65366E-12	9.23502E-11	81575000000	20	20
87	1.10E-10	1687918.21	9.41519E-11	7.03925E-11	3.65147E-12	9.41519E-11	1.05194E+11	20	20
88	1.06E-10	1692213.48	9.79875E-11	2.63882E-11	3.25344E-12	9.79875E-11	1.05669E+11	20	20
89	1.04E-10	1678303.6	9.33579E-11	7.05834E-11	3.66215E-12	9.33579E-11	93304800000	20	20
90	1.10E-10	1699500.22	9.43109E-11	7.044E-11	3.6516E-12	9.43109E-11	1.17418E+11	20	20
91	1.04E-10	1689138.82	9.41015E-11	7.08747E-11	3.65946E-12	9.41015E-11	58783500000	20	20
92	1.05E-10	1688133.64	9.4875E-11	7.03269E-11	3.65302E-12	9.4875E-11	90714600000	20	20
93	1.07E-10	1706197.17	9.33964E-11	7.02411E-11	3.655E-12	9.33964E-11	76027500000	20	20
94	1.01E-10	1683216.35	9.72583E-11	3.61249E-12	3.25418E-12	9.72583E-11	1.11193E+11	20	20
95	1.04E-10	1684666.86	9.44112E-11	7.07735E-11	3.65606E-12	9.44112E-11	82994700000	20	20
96	1.09E-10	1684844.97	9.86203E-11	7.07539E-11	3.65021E-12	9.86203E-11	1.21747E+11	20	20
97	1.05E-10	1669509.25	9.67538E-11	7.02981E-11	3.65625E-12	9.67538E-11	1.1442E+11	20	20
98	1.07E-10	1684426.28	9.15333E-11	7.07143E-11	3.65017E-12	9.15333E-11	1.06563E+11	20	20
99	1.05E-10	1696682.66	9.39753E-11	7.05737E-11	3.65185E-12	9.39753E-11	98419700000	20	20
100	1.06E-10	1681891.96	9.11615E-11	7.08059E-11	3.36868E-12	9.11615E-11	2.25585E+11	20	20
101	1.06E-10	1704746.57	9.41279E-11	7.05798E-11	3.65425E-12	9.41279E-11	88427700000	20	20
102	1.04E-10	1688423.08	9.47792E-11	7.06819E-11	3.64995E-12	9.47792E-11	92475200000	20	20
103	1.05E-10	1686392.63	9.57914E-11	7.08854E-11	3.65094E-12	9.57914E-11	3.19536E+11	20	20
104	1.03E-10	1688145.84	9.50526E-11	7.078E-11	3.65459E-12	9.50526E-11	67606900000	20	20
105	1.06E-10	1678616.02	9.31086E-11	7.05471E-11	3.65323E-12	9.31086E-11	93560200000	20	20
106	1.04E-10	1692876.38	8.94614E-11	7.0024E-11	3.27701E-12	8.94614E-11	65244200000	20	20
107	1.07E-10	1688308.19	9.55295E-11	7.0032E-11	3.65382E-12	9.55295E-11	89488000000	20	20
108	1.00E-10	1681101.31	9.63889E-11	7.03506E-11	3.65872E-12	9.63889E-11	97811400000	20	20
109	1.05E-10	1691760.66	9.46014E-11	7.04236E-11	3.65376E-12	9.46014E-11	1.13492E+11	20	20
110	9.97E-11	1689055.83	8.90532E-11	7.03334E-11	3.65407E-12	8.90532E-11	62319900000	20	20
111	1.03E-10	1679888.89	9.41156E-11	7.05966E-11	3.6568E-12	9.41156E-11	90920100000	20	20
112	1.07E-10	1692142.25	9.75832E-11	7.06165E-11	3.29709E-12	9.75832E-11	1.53396E+11	20	20
113	1.09E-10	1680640.2	9.44493E-11	7.02823E-11	3.65224E-12	9.44493E-11	76013400000	20	20
114	1.02E-10	1692351.24	9.23798E-11	7.03529E-11	3.65499E-12	9.23798E-11	1.00122E+11	20	20
115	1.06E-10	1689181.71	9.16896E-11	7.04138E-11	3.65303E-12	9.16896E-11	78381900000	20	20
116	1.06E-10	1686758.07	9.20729E-11	7.06469E-11	3.65567E-12	9.20729E-11	68255700000	20	20
117	1.05E-10	1686925.27	9.30629E-11	7.04509E-11	3.64907E-12	9.30629E-11	92616800000	20	20
118	1.04E-10	1686113.29	8.82973E-11	7.03166E-11	3.27143E-12	8.82973E-11	74391800000	20	20
119	1.02E-10	1683844.6	9.04892E-11	7.00736E-11	3.6546E-12	9.04892E-11	78928500000	20	20
120	1.04E-10	1677603.61	9.21073E-11	7.02462E-11	3.65111E-12	9.21073E-11	1.04626E+11	20	20
121	1.08E-10	1682764.27	9.33233E-11	7.05306E-11	3.65845E-12	9.33233E-11	54381900000	20	20
122	1.03E-10	1681133.01	9.08768E-11	7.06795E-11	3.65524E-12	9.08768E-11	78907000000	20	20
123	1.03E-10	1687640.45	9.17847E-11	7.04803E-11	3.65017E-12	9.17847E-11	91193800000	20	20
124	1.03E-10	1690929.06	8.69452E-11	7.07127E-11	3.65351E-12	8.69452E-11	1.70251E+11	20	20
125	1.02E-10	1689529.68	9.19829E-11	6.97085E-11	3.65682E-12	9.19829E-11	67050800000	20	20
126	1.07E-10	1682276.98	9.23334E-11	7.0528E-11	3.65155E-12	9.23334E-11	93751000000	20	20
127	1.08E-10	1699230.33	9.46046E-11	6.91981E-11	3.26429E-12	9.46046E-11	1.15698E+11	20	20
128	1.05E-10	1678585.31	9.1862E-11	6.82184E-11	3.26217E-12	9.1862E-11	82627100000	20	20
129	1.02E-10	1684673.66	9.18918E-11	6.96576E-11	3.27326E-12	9.18918E-11	75325000000	20	20
130	1.07E-10	1684416.08	8.6295E-11	7.07589E-11	3.64595E-12	8.6295E-11	92376900000	20	20
131	1.07E-10	1673088.15	9.29556E-11	6.84175E-11	3.2709E-12	9.29556E-11	70120400000	20	20
132	1.01E-10	1683273.84	8.84339E-11	6.90483E-11	3.2663E-12	8.84339E-11	67726300000	20	20
